Name,Level,Time,Points,Date,Year
Karl Jobst,Dam Agent,0:52,100,2-Dec-17,
Bryan B,Dam Agent,0:53,97,27-Sep-02,
Ilari Pekkala,Dam Agent,0:53,97,8-Nov-04,
Wouter Jansen,Dam Agent,0:53,97,21-Nov-04,
Dan Cervone,Dam Agent,0:53,97,15-May-05,
Michael K,Dam Agent,0:53,97,11-May-06,
Jimmy Bauer,Dam Agent,0:53,97,22-Sep-06,
David Clemens,Dam Agent,0:53,97,31-Jan-07,
Leonardo Santos,Dam Agent,0:53,97,10-Feb-07,
Luke Szklarz,Dam Agent,0:53,97,9-Mar-07,
Arnold Navilite,Dam Agent,0:53,97,12-Mar-07,
Graham Maddocks,Dam Agent,0:53,97,15-Apr-07,
Guilherme Alberto,Dam Agent,0:53,97,28-Apr-07,
Glen Stevens,Dam Agent,0:53,97,5-Jun-07,
Rafael Lanfredi,Dam Agent,0:53,97,21-Nov-07,
Eddie Lovins,Dam Agent,0:53,97,11-Mar-08,
Rayan I,Dam Agent,0:53,97,19-Mar-08,
Axel Zakrisson,Dam Agent,0:53,97,20-Jul-08,
Ryan Lockwood,Dam Agent,0:53,97,21-Aug-08,
Patrik Nilsson,Dam Agent,0:53,97,17-Sep-08,
Cliff Hampton,Dam Agent,0:53,97,13-Oct-08,
Shawn Johnson,Dam Agent,0:53,97,15-Jul-09,
Ryan W,Dam Agent,0:53,97,30-Oct-09,
Marc Rützou,Dam Agent,0:53,97,28-Nov-09,
Trent H,Dam Agent,0:53,97,11-Jul-10,
Ryan Koch,Dam Agent,0:53,97,30-Aug-10,
Greg Woll,Dam Agent,0:53,97,28-Jun-11,
Eise S,Dam Agent,0:53,97,29-Jun-11,
Jim Barrett,Dam Agent,0:53,97,19-Aug-11,
Alex Anderson,Dam Agent,0:53,97,31-Aug-11,
Adam Bozon,Dam Agent,0:53,97,5-May-12,
Philip Bezgoubov,Dam Agent,0:53,97,31-Mar-13,
Stefan Persson,Dam Agent,0:53,97,13-Nov-13,
Nick Rotmeyer,Dam Agent,0:53,97,30-Nov-13,
Henrik Norgren,Dam Agent,0:53,97,31-Dec-13,
Adam Moore,Dam Agent,0:53,97,10-Jan-14,
Daniel Coelho,Dam Agent,0:53,97,19-Jan-14,
Eric B,Dam Agent,0:53,97,22-Mar-14,
Justin St-Pierre,Dam Agent,0:53,97,20-Jul-14,
Alec M,Dam Agent,0:53,97,21-Jul-14,
Gregor Degenhart,Dam Agent,0:53,97,6-Sep-14,
Taylor Victoria,Dam Agent,0:53,97,8-Sep-14,
Sam Rodrigues,Dam Agent,0:53,97,14-Sep-14,
Øyvind Persvik,Dam Agent,0:53,97,25-Sep-14,
Nick Franks,Dam Agent,0:53,97,26-Sep-14,
Walton Mattei,Dam Agent,0:53,97,3-Oct-14,
Gus Riolo,Dam Agent,0:53,97,8-Oct-14,
Dan Parker,Dam Agent,0:53,97,17-Oct-14,
Jo,Dam Agent,0:53,97,23-Oct-14,
Jonathan Hotinski,Dam Agent,0:53,97,27-Oct-14,
Aaron Morgan,Dam Agent,0:53,97,2-Nov-14,
Oscar Pleininger,Dam Agent,0:53,97,8-Dec-14,
Matthew Burden,Dam Agent,0:53,97,13-Jan-15,
Logan Jordon,Dam Agent,0:53,97,24-Jan-15,
Taylor v,Dam Agent,0:53,97,29-Jan-15,
Alex Carvalho ,Dam Agent,0:53,97,29-Jan-15,
Austin P,Dam Agent,0:53,97,4-Feb-15,
Randy Buikema,Dam Agent,0:53,97,20-Feb-15,
John H,Dam Agent,0:53,97,1-Mar-15,
Tobias Linde,Dam Agent,0:53,97,6-Mar-15,
Brandyn Hovis,Dam Agent,0:53,97,14-Mar-15,
Sakuya A,Dam Agent,0:53,97,10-Apr-15,
Marc Williams,Dam Agent,0:53,97,24-Apr-15,
Cameron Heiniger,Dam Agent,0:53,97,24-Apr-15,
Luke Tidbury,Dam Agent,0:53,97,27-Apr-15,
Rich Noe,Dam Agent,0:53,97,10-May-15,
Aaron Enszer,Dam Agent,0:53,97,30-Jun-15,
Narcissa Wright,Dam Agent,0:53,97,8-Jul-15,
Carl-Magnus Wall,Dam Agent,0:53,97,8-Jul-15,
Tyler Deel,Dam Agent,0:53,97,9-Jul-15,
Daniel Dickens,Dam Agent,0:53,97,11-Jul-15,
Chebon Shayen,Dam Agent,0:53,97,14-Aug-15,
Chris Staples,Dam Agent,0:53,97,19-Sep-15,
Aaron Scott,Dam Agent,0:53,97,18-Nov-15,
Eric Liikala,Dam Agent,0:53,97,26-Nov-15,
Kyle Wiebenga,Dam Agent,0:53,97,30-Nov-15,
William Langley,Dam Agent,0:53,97,9-Dec-15,
Jezz S,Dam Agent,0:53,97,11-Dec-15,
James Dalziel,Dam Agent,0:53,97,19-Dec-15,
Jeff Martin,Dam Agent,0:53,97,23-Dec-15,
Ryan Gibbs,Dam Agent,0:53,97,6-Jan-16,
Mike S,Dam Agent,0:53,97,26-Jan-16,
Greg Larkin,Dam Agent,0:53,97,13-Feb-16,
Ludovic Begon,Dam Agent,0:53,97,3-Jun-16,
Samuel Haycock,Dam Agent,0:53,97,11-Aug-16,
Craig McGrath,Dam Agent,0:53,97,19-Sep-16,
Huzaifa P,Dam Agent,0:53,97,5-Nov-16,
Timmy Johansson,Dam Agent,0:53,97,20-Jan-17,
Gabriel Girard,Dam Agent,0:53,97,1-Feb-17,
Randy Chapman,Dam Agent,0:53,97,2-Feb-17,
Vitor Miranda,Dam Agent,0:53,97,3-Feb-17,
Thomas Andrews,Dam Agent,0:53,97,8-Feb-17,
David Veach,Dam Agent,0:53,97,10-Feb-17,
Dan Edeen,Dam Agent,0:53,97,17-Feb-17,
Jacob Ross,Dam Agent,0:53,97,5-Mar-17,
Silas Lankford,Dam Agent,0:53,97,9-Mar-17,
Mike McEnery,Dam Agent,0:53,97,14-Mar-17,
Alex Stubbs,Dam Agent,0:53,97,31-Mar-17,
Laercio Rodolfo,Dam Agent,0:53,97,6-Apr-17,
Harry Coupe,Dam Agent,0:53,97,8-Apr-17,
Andrew Wash,Dam Agent,0:53,97,11-Apr-17,
John Lewis,Dam Agent,0:53,97,29-Apr-17,
Patrick Shelton,Dam Agent,0:53,97,7-May-17,
Austin H,Dam Agent,0:53,97,30-May-17,
Mickey Wickenkamp,Dam Agent,0:53,97,31-May-17,
Charlie Yeudall,Dam Agent,0:53,97,31-May-17,
Adam Woodson,Dam Agent,0:53,97,1-Jun-17,
Taylor Harris,Dam Agent,0:53,97,8-Jun-17,
Jolain Goulette,Dam Agent,0:53,97,8-Jun-17,
Justin Thorogood,Dam Agent,0:53,97,10-Jun-17,
Chad H,Dam Agent,0:53,97,27-Jun-17,
Blake Carroll,Dam Agent,0:53,97,4-Jul-17,
Glan Ivin,Dam Agent,0:53,97,10-Jul-17,
Jake Aguirre,Dam Agent,0:53,97,24-Jul-17,
David Gonzales,Dam Agent,0:53,97,25-Jul-17,
Stefan Bangen,Dam Agent,0:53,97,27-Jul-17,
Eike Kusch,Dam Agent,0:53,97,29-Jul-17,
Harry Van Dort,Dam Agent,0:53,97,30-Jul-17,
Irie Butler,Dam Agent,0:53,97,21-Aug-17,
Henry Rodriguez,Dam Agent,0:53,97,22-Aug-17,
Jonathan Hauptman,Dam Agent,0:53,97,3-Sep-17,
